node_label	count0	count1	count2	topo0	topo1	topo2
QS155	271	49	30	((LOfloccosa_P022_WH04_A,CEtrojana_P002_WF07_A),(LOeugeniifolia_P012_WC09_SP,LOtrinitatis_P006_WH05_SP));	((LOfloccosa_P022_WH04_A,LOeugeniifolia_P012_WC09_SP),(CEtrojana_P002_WF07_A,LOtrinitatis_P006_WH05_SP));	((LOfloccosa_P022_WH04_A,LOtrinitatis_P006_WH05_SP),(LOeugeniifolia_P012_WC09_SP,CEtrojana_P002_WF07_A));
QS156	123	71	154	((LOtrinitatis_P006_WH05_SP,NNliaoi_P002_WF06_A),(LOtristis_P009_WG12_SP,LOfloccosa_P022_WH04_A));	((LOtrinitatis_P006_WH05_SP,LOtristis_P009_WG12_SP),(NNliaoi_P002_WF06_A,LOfloccosa_P022_WH04_A));	((LOtrinitatis_P006_WH05_SP,LOfloccosa_P022_WH04_A),(LOtristis_P009_WG12_SP,NNliaoi_P002_WF06_A));
QS157	290	353	319	((LOfloccosa_P022_WH04_A,LOhumboldtii_P004_WD04_A),(LOgraciliformis_P012_WB07_SP,LOacherdophylla_P009_WD01_A));	((LOfloccosa_P022_WH04_A,LOgraciliformis_P012_WB07_SP),(LOhumboldtii_P004_WD04_A,LOacherdophylla_P009_WD01_A));	((LOfloccosa_P022_WH04_A,LOacherdophylla_P009_WD01_A),(LOgraciliformis_P012_WB07_SP,LOhumboldtii_P004_WD04_A));
QS158	353	0	14	((LOrugulosa_P003_WG04_SS,CYlonginux_F003_WC07_A),(LOgraciliformis_P012_WB07_SP,LOtardifolia_P011_WG06_A));	((LOrugulosa_P003_WG04_SS,LOgraciliformis_P012_WB07_SP),(CYlonginux_F003_WC07_A,LOtardifolia_P011_WG06_A));	((LOrugulosa_P003_WG04_SS,LOtardifolia_P011_WG06_A),(LOgraciliformis_P012_WB07_SP,CYlonginux_F003_WC07_A));
QS159	233	108	16	((LOtardifolia_P011_WG06_A,POpontica_P002_WC09_A),(LOacherdophylla_P009_WD01_A,LOrugulosa_P003_WG04_SS));	((LOtardifolia_P011_WG06_A,LOacherdophylla_P009_WD01_A),(POpontica_P002_WC09_A,LOrugulosa_P003_WG04_SS));	((LOtardifolia_P011_WG06_A,LOrugulosa_P003_WG04_SS),(LOacherdophylla_P009_WD01_A,POpontica_P002_WC09_A));
QS160	175	382	415	((LOgraciliformis_P012_WB07_SP,QUdentata_trans_A),(LOgrahamii_P011_WC11_A,LOfurfuracea_P012_WD01_A));	((LOgraciliformis_P012_WB07_SP,LOgrahamii_P011_WC11_A),(QUdentata_trans_A,LOfurfuracea_P012_WD01_A));	((LOgraciliformis_P012_WB07_SP,LOfurfuracea_P012_WD01_A),(LOgrahamii_P011_WC11_A,QUdentata_trans_A));
QS161	515	281	177	((LOfurfuracea_P012_WD01_A,CYpercoriacea_P005_WB03_A),(LOknoblochii_P022_WG07_HN,LOrapurahuensis_P011_WG12_SS));	((LOfurfuracea_P012_WD01_A,LOknoblochii_P022_WG07_HN),(CYpercoriacea_P005_WB03_A,LOrapurahuensis_P011_WG12_SS));	((LOfurfuracea_P012_WD01_A,LOrapurahuensis_P011_WG12_SS),(LOknoblochii_P022_WG07_HN,CYpercoriacea_P005_WB03_A));
QS162	498	105	366	((LOsalicifolia_F001_WD01_A,LOacutifolia_F002_WG09_A),(LOsartorii_P009_WG10_ANP,LOradiata_P011_WE09_A));	((LOsalicifolia_F001_WD01_A,LOsartorii_P009_WG10_ANP),(LOacutifolia_F002_WG09_A,LOradiata_P011_WE09_A));	((LOsalicifolia_F001_WD01_A,LOradiata_P011_WE09_A),(LOsartorii_P009_WG10_ANP,LOacutifolia_F002_WG09_A));
QS163	133	216	11	((LOknoblochii_P022_WG07_HN,NNmulleri_P017_WA12_SNS),(LOgrahamii_P011_WC11_A,LOsartorii_P009_WG10_ANP));	((LOknoblochii_P022_WG07_HN,LOgrahamii_P011_WC11_A),(NNmulleri_P017_WA12_SNS,LOsartorii_P009_WG10_ANP));	((LOknoblochii_P022_WG07_HN,LOsartorii_P009_WG10_ANP),(LOgrahamii_P011_WC11_A,NNmulleri_P017_WA12_SNS));
QS164	353	0	13	((LOsartorii_P009_WG10_ANP,CThenryi_trans),(LOknoblochii_P022_WG07_HN,LOradiata_P011_WE09_A));	((LOsartorii_P009_WG10_ANP,LOknoblochii_P022_WG07_HN),(CThenryi_trans,LOradiata_P011_WE09_A));	((LOsartorii_P009_WG10_ANP,LOradiata_P011_WE09_A),(LOknoblochii_P022_WG07_HN,CThenryi_trans));
