id,node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes,qf_rank,sect
70,QS71,0.967032967,0.848997503,0.666666667,0.983783784,NA,NA,2.006797,185,,NA,CE
71,QS72,0.684210526,0.23807965,0.814102564,0.988,NA,NA,59.484994,1000,,NA,deepNode
72,QS73,0.842,0.504539392,0.860759494,1,NA,NA,281.292244,1000,,NA,deepNode
73,QS74,0.866866867,0.585705862,0.360902256,0.999,NA,NA,722.748698,1000,,NA,deepNode
74,QS75,0.805050505,0.462933528,0.393782383,0.99,NA,NA,95.286735,1000,,NA,deepNode
75,QS76,0.814070352,0.478153993,0.4,0.995,NA,NA,81.195931,1000,,NA,QU
76,QS77,0.510769231,0.101409361,0.578616352,0.975,NA,NA,32.525567,1000,,NA,QU
77,QS78,0.523373984,0.108010207,0.584221748,0.984,NA,NA,10.652731,1000,,NA,QU
78,QS79,0.429606625,0.030447462,0.784029038,0.966,NA,NA,147.015018,1000,,NA,QU
79,QS80,0.959758551,0.832632034,0.25,0.994,NA,NA,153.626623,1000,,NA,QU
80,QS81,0.756592292,0.359496266,0.6,0.986,NA,NA,8.52718,1000,,NA,QU
81,QS82,0.490276356,0.048484947,0.939759036,0.977,NA,NA,51.434327,1000,,NA,QU
82,QS83,0.801010101,0.527819658,0.040609137,0.99,NA,NA,94.869941,1000,,NA,QU
83,QS84,0.529636711,0.082106756,0.804878049,0.952641166,NA,NA,217.600208,549,,NA,QU
84,QS85,0.853185596,0.578543172,0.188679245,0.980978261,NA,NA,102.849627,368,,NA,QU
85,QS86,0.138121547,-0.540952526,0.051282051,0.978378378,NA,NA,45.717628,185,,NA,QU
86,QS87,0.577235772,0.179005382,0.432692308,0.984,NA,NA,99.3367,1000,,NA,QU
87,QS88,0.371545548,-0.0319871,0.684039088,0.977,NA,NA,8.633976,1000,,NA,QU
88,QS89,0.657814096,0.219386025,0.644776119,0.979,NA,NA,136.139447,1000,,NA,QU
89,QS90,0.344329897,-0.018384197,0.754716981,0.97,NA,NA,64.777956,1000,,NA,QU
90,QS91,0.318681319,-0.097058328,0,0.983783784,NA,NA,34.022687,185,,NA,QU
91,QS92,0.525076766,0.139042843,0.452586207,0.977,NA,NA,44.760729,1000,,NA,QU
92,QS93,0.628571429,0.216867609,0.461538462,0.951086957,NA,NA,35.890942,368,,NA,QU
93,QS94,0.712290503,0.293585606,0.601941748,0.972826087,NA,NA,8.90462,368,,NA,QU
94,QS95,0.321649485,-0.001205851,0.945288754,0.97,NA,NA,81.746468,1000,,NA,QU
95,QS96,0.749745677,0.33301816,0.837398374,0.983,NA,NA,176.339731,1000,,NA,QU
96,QS97,0.994594595,0.951512593,0,1,NA,NA,23.973172,185,,NA,QU
97,QS98,0.544707091,0.260504868,0.153498871,0.973,NA,NA,21.183385,1000,,NA,QU
98,QS99,0.961325967,0.763820703,0,0.978378378,NA,NA,112.716153,185,,NA,QU
99,QS100,0.844758065,0.537373373,0.38961039,0.992,NA,NA,158.692863,1000,,NA,QU
